Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r14094
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,a270c7
Behavior Date:,2021-5-25
Behavior Time:,12:15 PM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 12:16:01 PM
Coding Ended:,05/25/2021 12:21:22 PM
Session duration:,00:05:20
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r14094,Pair,a270c7,2021-5-25,1.0.46.0,SocGroom,12:16:01,00:05:18.9563797,00:05:18.9563797

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:05:18.9563797
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
